Date	School	Cycle	Schedule	Testing	Events
2023-02-15	True	B1	Conference	World Languages, English Language Arts, Health	Department Meeting
2023-02-16	True	A2	Regular	Mathematics, Music, Art	None
2023-02-17	True	B2	Regular	Computer Science, Social Studies, Technology	None
2023-02-18	False	None	None	None	None
2023-02-19	False	None	None	None	None
2023-02-20	False	None	None	None	Mid-Winter Recess
2023-02-21	False	None	None	None	Mid-Winter Recess
2023-02-22	False	None	None	None	Mid-Winter Recess
2023-02-23	False	None	None	None	Mid-Winter Recess
2023-02-24	False	None	None	None	Mid-Winter Recess
2023-02-25	False	None	None	None	None
2023-02-26	False	None	None	None	None
2023-02-27	True	A	Regular	None	None
2023-02-28	True	B1	Regular	Science	None
2023-03-01	True	A1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
2023-03-02	True	B2	Regular	Mathematics, Music, Art	None
2023-03-03	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-03-04	False	None	None	None	None
2023-03-05	False	None	None	None	None
2023-03-06	True	B	Regular	Science	None
2023-03-07	True	A1	Homeroom	Science	None
2023-03-08	True	B1	Regular	World Languages, English Language Arts, Health	None
2023-03-09	True	A2	Regular	Mathematics, Music, Art	None
2023-03-10	True	B2	Regular	Computer Science, Social Studies, Technology	None
2023-03-11	False	None	None	None	None
2023-03-12	False	None	None	None	None
2023-03-13	True	A	Regular	Science	None
2023-03-14	True	B1	Regular	Science	End of MP1
2023-03-15	True	A1	Coaching	World Languages, English Language Arts, Health	Department Meeting
2023-03-16	True	B2	Regular	Mathematics, Music, Art	None
2023-03-17	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-03-18	False	None	None	None	None
2023-03-19	False	None	None	None	None
2023-03-20	True	B1	Regular	Science	None
2023-03-21	True	A1	Regular	World Languages, English Language Arts, Health	Grades due 8 am
2023-03-22	True	None	SAT	None	SAT Exam Academic Screener
2023-03-23	True	B2	Regular	Mathematics, Music, Art	Report Cards
2023-03-24	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-03-25	False	None	None	None	None
2023-03-26	False	None	None	None	None
2023-03-27	True	B1	Regular	Science	None
2023-03-28	True	A1	Regular	World Languages, English Language Arts, Health	None
2023-03-29	True	B2	Regular	Mathematics, Music, Art	None
2023-03-30	True	A2	PTC	Computer Science, Social Studies, Technology	Parent-Teacher Conferences
2023-03-31	True	B	PTC	None	Parent-Teacher Conferences
2023-04-01	False	None	None	None	None
2023-04-02	False	None	None	None	None
2023-04-03	True	A	Regular	Science	None
2023-04-04	True	B2	Homeroom	Mathematics, Music, Art, Technology	None
2023-04-05	True	A1	Conference	World Languages, English Language Arts, Computer Science, Social Studies, Health	Faculty Meeting
2023-04-06	False	None	None	None	Spring Recess
2023-04-07	False	None	None	None	Spring Recess
2023-04-08	False	None	None	None	None
2023-04-09	False	None	None	None	None
2023-04-10	False	None	None	None	Spring Recess
2023-04-11	False	None	None	None	Spring Recess
2023-04-12	False	None	None	None	Spring Recess
2023-04-13	False	None	None	None	Spring Recess
2023-04-14	False	None	None	None	Spring Recess
2023-04-15	False	None	None	None	None
2023-04-16	False	None	None	None	None
2023-04-17	True	B1	Regular	None	None
2023-04-18	True	A1	Regular	Science	None
2023-04-19	True	B2	Conference	Mathematics, Music, Art, Technology	Department Meeting
2023-04-20	True	A2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2023-04-21	False	None	None	None	Eid al-Fitr
2023-04-22	False	None	None	None	None
2023-04-23	False	None	None	None	None
2023-04-24	True	B	Regular	Science	None
2023-04-25	True	A1	Regular	Science	None
2023-04-26	True	B1	Regular	World Languages, English Language Arts, Health	None
2023-04-27	True	A2	Regular	Mathematics, Music, Art	None
2023-04-28	True	B2	Regular	Computer Science, Social Studies, Technology	None
2023-04-29	False	None	None	None	None
2023-04-30	False	None	None	None	None
2023-05-01	True	A	Regular	Science	None
2023-05-02	True	B1	Homeroom	Science	End of MP2
2023-05-03	True	A1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
2023-05-04	True	B2	Regular	Mathematics, Music, Art	None
2023-05-05	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-05-06	False	None	None	None	None
2023-05-07	False	None	None	None	None
2023-05-08	True	B	Regular	Science	None
2023-05-09	True	A1	Regular	Science	Grades due 8 am
2023-05-10	True	B1	Regular	World Languages, English Language Arts, Health	None
2023-05-11	True	A2	Regular	Mathematics, Music, Art	Report Cards
2023-05-12	True	B2	Regular	Computer Science, Social Studies, Technology	None
2023-05-13	False	None	None	None	None
2023-05-14	False	None	None	None	None
2023-05-15	True	A	Regular	Science	None
2023-05-16	True	B1	Regular	Science	None
2023-05-17	True	A1	Conference	World Languages, English Language Arts, Health	Department Meeting
2023-05-18	True	B2	Regular	Mathematics, Music, Art	None
2023-05-19	True	A2	Regular	Computer Science, Social Studies, Technology	None
2023-05-20	False	None	None	None	None
2023-05-21	False	None	None	None	None
2023-05-22	True	B	Regular	Science	None
2023-05-23	True	A1	Regular	Science	None
2023-05-24	True	B1	Regular	World Languages, English Language Arts, Health	None
2023-05-25	True	A2	Regular	Mathematics, Music, Art	None
2023-05-26	True	B2	Regular	Computer Science, Social Studies, Technology	None
2023-05-27	False	None	None	None	None
2023-05-28	False	None	None	None	None
2023-05-29	False	None	None	None	Memorial Day
2023-05-30	True	A1	Regular	Science	None
2023-05-31	True	B1	Regular	Mathematics, Music, Art, Technology	None
2023-06-01	True	A2	Regular	Regents Exams	US History: 9:15 am, Academic Screener
2023-06-02	True	B2	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
2023-06-03	False	None	None	None	None
2023-06-04	False	None	None	None	None
2023-06-05	True	B2	Regular	Science	In class finals
2023-06-06	True	A1	Homeroom	World Languages, English Language Arts, Health	In class finals
2023-06-07	True	B1	Regular	Mathematics, Music, Art	In class finals
2023-06-08	False	None	None	None	Chancellor's Conference Day
2023-06-09	True	A2	Regular	Computer Science, Social Studies, Technology	In class finals
2023-06-10	False	None	None	None	None
2023-06-11	False	None	None	None	None
2023-06-12	True	B2	Regular	Makeup finals	None
2023-06-13	True	A	Regular	Makeup finals	End of MP3
2023-06-14	True	None	None	Regents Exams, Uniform Final Exams	ELA: 9:15 am, Living Environment: 1:15 pm
2023-06-15	True	None	None	Regents Exams, Uniform Final Exams	Global History: 9:15 am, Algebra 1: 1:15 pm
2023-06-16	True	None	None	Regents Exams, Uniform Final Exams	Chemistry: 9:15 am, Senior Grades
2023-06-17	False	None	None	None	None
2023-06-18	False	None	None	None	None
2023-06-19	False	None	None	None	Juneteenth
2023-06-20	True	None	None	Regents Exams, Uniform Final Exams	Geometry: 9:15 am, Language Other Than English: 1:15 pm
2023-06-21	True	None	None	Regents Exams, Uniform Final Exams	Algebra 2: 9:15 am
2023-06-22	True	None	None	Regents Exams, Uniform Final Exams	Physics: 9:15 am
2023-06-23	True	None	None	Regents Exams, Uniform Final Exams	Rating Day
2023-06-24	False	None	None	None	None
2023-06-25	False	None	None	None	None
2023-06-26	True	A	Regular	None	Report Cards
2023-06-27	True	None	Regular	None	Last Day of School for Students, Teachers, Paraprofessionals, and Aides, Alternative Report Card Day
2023-06-28	False	None	None	None	Eid al-Adha
2023-06-29	False	None	None	None	None
2023-06-30	False	None	None	None	Last Day of School for 10-month supervisors, school counselors and secretaries
